CountryCode,C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test
ABW,-0.21075755418086517,8.30861363427032e-17,0.028161092868779408,0.19701553746792969,-0.10755001962785002,-0.46836901807429404,-0.15165192177029574,-0.19668570517495956
AGO,-0.3537039145539867,-0.408156779755316,-0.6401358816820125,-0.17902372906370032,-0.5579562671538365,-0.46836901807429404,-0.6816046526928882,-0.19668570517495956
ALB,0.23165600758855134,0.3019011215796482,0.0,0.03701501906234832,0.5362032420488496,0.16251242804045554,1.0370012182794155,0.1330397688643701
AND,0.18985955576509533,-0.4197455631459101,0.3681138283239888,0.38783786381095536,1.0355262456995977,-0.46836901807429404,0.5201030555631377,0.3570185436281547
ARE,0.18585656044137816,0.45243074639111475,0.4752674050834526,-0.06479130982911671,0.14509235134860052,-0.10124989325498664,0.37492685177020907,-0.1388288973319836
ARG,-0.17860210962214876,-0.20127864731519995,-0.32475541590083656,-0.1530927576802498,-0.18515860913879967,0.015072394985547162,-0.27741367824823215,-0.13816677056498095
ARM,2.040130668880264,8.186659163508049,6.596815552621143,2.2697542177499486,2.640413257637368,4.374622117848493,7.216332986050173,3.54942092930831
ASM,0.7298791510974635,-0.4197455631459101,0.6144520123353722,0.5261124541476428,1.9927588625703536,-0.46836901807429404,1.0635884639543876,0.49208366205092213
ATG,-0.11143471249976503,-0.4197455631459101,-0.03921948626895793,-0.17902372906370032,0.11904686697060064,-0.46836901807429404,-0.08545815435087752,-0.19668570517495956
AUS,0.18292627416211577,0.2698482595503734,0.42308375095976714,-0.08225352094273405,0.2719164525704304,0.1344910203666495,0.3802848324594296,-0.0659273825813673
AUT,-0.16268307425695594,-0.14029429285513229,-0.36463728669461,-0.13784777236665485,-0.18963921542813733,0.02023745723071387,-0.2906076960653808,-0.14752764916179553
AZE,-0.2820745524116057,-0.29840960991007126,-0.47472004211373514,-0.17107780174100815,-0.4161007125590194,-0.20318176340499175,-0.4732609122062122,-0.19668570517495956
BDI,-0.3548031206001187,-0.4197455631459101,-0.6417583024667997,-0.17902372906370032,-0.5602558460457472,-0.46836901807429404,-0.6830902783996102,-0.19668570517495956
BEL,-0.08216375076560767,-0.2091572768496449,-0.21426638624830563,-0.13075594640804852,-0.05094374208462797,0.08393550464629383,-0.11414499192983273,-0.0922877890156542
BEN,-0.3453232121606528,-0.4197455631459101,-0.6242442121136613,-0.17551265325226997,-0.5404235339679947,-0.4449333006512792,-0.6494792625934448,-0.19325612444644352
BFA,-0.35464643478615593,-0.4197455631459101,-0.6395092254674042,-0.17902372906370032,-0.559081150372092,-0.46836901807429404,-0.6805666477208194,-0.19668570517495956
BGD,-0.12250292437367977,-0.13125744474760442,0.929519590539356,0.16753421546291172,-0.1048859253989503,-0.33343212675493794,0.6161174669851349,-0.10547497836321121
BGR,0.5564037873504354,1.6046531363790832,1.4523583919129488,0.2131678366457993,0.8057452669551382,1.301410579201688,1.5201795982000157,0.4346009166458589
BHR,-0.16644418817777734,0.008867179681194255,-0.31172827078968157,-0.17902372906370032,-0.27917919727499013,-0.09366511831092544,-0.32647307984150314,-0.19668570517495956
BHS,-0.2594157762608877,-0.4197455631459101,-0.3216149663474727,-0.17902372906370032,-0.40088602341338236,-0.46836901807429404,-0.47217550840284495,-0.19668570517495956
BIH,0.5532059616381187,0.9186972734552115,2.0954737572431434,0.08908400566803196,1.1484065635174214,0.4952427085553606,1.9703814046957637,0.034981550826490466
BLR,0.8037105434250715,4.6001818642142815,1.9660641442393059,0.34613322840574406,1.5937652893994272,5.493428196555765,1.2837092085117623,0.3607121745805319
BLZ,-0.005981312216562102,-0.4197455631459101,-0.14684549500816274,-0.07217582923916056,-0.21756826912831417,-0.46836901807429404,-0.34376690330536225,-0.09231783680604166
BMU,0.256213277845882,-0.4197455631459101,-0.415207733517892,-0.17902372906370032,-0.30569496685039255,-0.46836901807429404,-0.008819417749964049,-0.19668570517495956
BOL,-0.17325290966625967,-0.254790583327401,-0.24916756939446338,-0.11781009145620483,-0.2166796495095454,-0.3241612798355921,-0.12835393409833662,-0.1579962357598457
BRA,-0.2731360178402465,-0.33689765984259185,-0.5210390850249469,-0.16948240181298554,-0.3672664056593406,-0.3022848256965563,-0.522644505700514,-0.17219821742095007
