Siruta,Localitate,PlanteNep_PlanteInm
161106,Ostrov,184620.0
114319,Municipiul Targu Mures,184158.0
87638,Municipiul Orastie,170566.0
8158,Unirea,168007.0
26877,Municipiul Marghita,161393.0
143735,Oras Cisnadie,156334.0
13169,Municipiul Pitesti,152225.0
125347,Municipiul Slatina,151481.0
42058,Teliu,151381.0
98373,Oras Podu Iloaiei,150858.0
62798,Rasova,150108.0
178279,Urechesti,148715.0
13622,Municipiul Curtea De Arges,148217.0
157834,Mosnita Noua,145450.0
117042,Ghindari,143631.0
153589,Pietrosani,140511.0
114603,Albesti,138696.0
71340,Bulzesti,134340.0
134443,Podenii Noi,131726.0
71260,Breasta,130665.0
161561,Valea Teilor,129400.0
22111,Damienesti,129345.0
170444,Gusoeni,126240.0
35090,Tiha Bargaului,126016.0
153623,Plopii-Slavitesti,124990.0
77910,Balesti,123082.0
52650,Doclin,123030.0
146502,Municipiul Campulung Moldovenesc,122945.0
104181,Manastirea,122225.0
41738,Recea,121704.0
13757,Oras Topoloveni,120758.0
151905,Oras Videle,120143.0
69526,Voinesti,120000.0
149682,Panaci,118193.0
155494,Oras Jimbolia,115360.0
131256,Municipiul Campina,114723.0
4482,Garbova,113524.0
165470,Puiesti,113259.0
176150,Fitionesti,110899.0
77812,Municipiul Targu Jiu,110798.0
138039,Oras Livada,109294.0
145765,Sura Mare,107790.0
9026,Bucerdea Granoasa,107213.0
13365,Maracineni,104791.0
123479,Piatra Soimului,103772.0
155350,Municipiul Lugoj,103682.0
20910,Oras Slanic-Moldova,103173.0
13524,Valea Mare Pravat,101893.0
62486,Oltina,98210.0
177236,Paunesti,95192.0
95239,Rediu,94393.0
60801,Oras Harsova,93800.0
73335,Motatei,91919.0
44845,Municipiul Ramnicu Sarat,90816.0
116652,Ernei,90366.0
12912,Dorobanti,89736.0
60687,Oras Ovidiu,88872.0
83785,Atid,88125.0
62191,Mihail Kogalniceanu,88016.0
39051,Sulita,87084.0
159614,Municipiul Tulcea,84022.0
13668,Oras Costesti,83426.0
159730,Oras Macin,80519.0
134648,Posesti,80393.0
132075,Aricestii Rahtivani,80240.0
10827,Felnac,80048.0
92658,Municipiul Slobozia,79984.0
137844,Hodod,78310.0
81095,Pades,77690.0
58259,Jucu,75444.0
102160,Corbeanca,73041.0
83133,Municipiul Odorheiu Secuiesc,71744.0
57742,Frata,69764.0
9397,Vladimirescu,67424.0
158699,Sanmihaiu Roman,67052.0
155528,Oras Sannicolau Mare,66671.0
157317,Giulvaz,64479.0
62707,Pestera,64397.0
76585,Independenta,62759.0
100576,Oras Buftea,61475.0
60847,Municipiul Medgidia,60209.0
114355,Cristesti,57788.0
62360,Oras Murfatlar,56890.0
27757,Brusturi,51477.0
10943,Gurahont,50426.0
109773,Municipiul Drobeta-Turnu Severin,50400.0
144893,Marpod,48131.0
127812,Oboga,47611.0
45619,Breaza,47020.0
86810,Municipiul Hunedoara,46814.0
8826,Vintu De Jos,45243.0
56988,Chinteni,44043.0
40633,Bran,42855.0
61318,Cobadin,41419.0
30568,Popesti,40818.0
143619,Municipiul Medias,39459.0
120726,Municipiul Piatra-Neamt,38067.0
32483,Oras Beclean,38050.0
55062,Cuzdrioara,36860.0
27436,Biharia,36221.0
68048,Matasaru,36140.0
135244,Sangeru,35942.0
99922,Tutora,35282.0
117827,Oras Iernut,35238.0
179463,Mogosoaia,34963.0
14584,Bogati,34700.0
46484,Costesti,33806.0
133508,Gorgota,31530.0
165336,Poienesti,30351.0
114453,Santana De Mures,30041.0
177842,Suraia,29468.0
62280,Mircea Voda,28780.0
41088,Harman,28226.0
128105,Oras Piatra-Olt,27896.0
10051,Barsa,25410.0
70094,Isalnita,24946.0
104546,Peris,24932.0
106363,Grosi,24585.0
28530,Chislaz,24519.0
72953,Lipovu,24183.0
95391,Municipiul Pascani,23909.0
52115,Cornea,22625.0
100521,Municipiul Giurgiu,22586.0
175983,Dumitresti,22223.0
149833,Patrauti,22209.0
136134,Varbilau,21839.0
50415,Zarnesti,19302.0
60632,Limanu,18750.0
96815,Deleni,18387.0
101001,Baneasa,18186.0
52936,Glimboca,17468.0
137363,Cehal,16900.0
32660,Branistea,16600.0
162595,Bogdana,15753.0
61452,Comana,15190.0
115824,Bogata,14190.0
121732,Borlesti,13906.0
165416,Pogana,13542.0
139811,Oras Jibou,13332.0
138431,Paulesti,12326.0
62903,Seimeni,12254.0
45101,Berca,11400.0
63286,Costinesti,10968.0
50102,Vernesti,10486.0
103238,Ghimpati,10432.0
42398,Vulcan,10318.0
161179,Sarichioi,9850.0
138805,Sauca,9530.0
11539,Paulis,9287.0
88092,Baita,8876.0
13392,Oras Stefanesti,8650.0
122285,Dobreni,8650.0
35759,Curtesti,8615.0
96192,Ciortesti,8000.0
16427,Dobresti,7750.0
27329,Balc,7501.0
175260,Boghesti,7411.0
116590,Eremitu,7264.0
50969,Oras Bocsa,6993.0
23207,Lipova,6214.0
118469,Nades,6091.0
142881,Sarmasag,6033.0
146628,Municipiul Radauti,5996.0
143806,Oras Dumbraveni,5992.0
179310,Dobroesti,5645.0
26118,Vultureni,5564.0
32179,Sannicolau Roman,4417.0
49769,Topliceni,4167.0
84558,Joseni,4000.0
16285,Davidesti,4000.0
55446,Oras Huedin,3963.0
63326,Gradina,3266.0
75472,Oras Targu Bujor,3214.0
57582,Feleacu,2943.0
106684,Oras Baia Sprie,2537.0
58721,Moldovenesti,2500.0
11584,Oras Pecica,2486.0
21855,Cleja,2252.0
56844,Ceanu Mare,2202.0
46769,Galbinasi,2069.0
124634,Tamaseni,1860.0
64238,Chichis,1768.0
124938,Alexandru Cel Bun,1651.0
142550,Salatig,1514.0
41854,Sinca,1500.0
179515,Oras Pantelimon,1500.0
179481,Oras Otopeni,1477.0
136964,Beltiug,1472.0
165979,Stanilesti,1368.0
30274,Osorhei,1364.0
46019,Cernatesti,1129.0
160172,Chilia Veche,1100.0
78141,Municipiul Motru,900.0
52160,Cornereva,362.0
23715,Nicolae Balcescu,323.0
15313,Cepari,240.0
179953,Ciceu- Mihaiesti,205.0
137069,Bixad,0.0
87362,Criscior,0.0
153062,Gratia,0.0
144866,Ludos,0.0
104323,Nana,0.0
178046,Tamboesti,0.0
70968,Botosesti-Paia,0.0
103899,Izvoarele,0.0
30014,Madaras,0.0
40857,Comana,0.0
46554,Cozieni,0.0
4525,Garda De Sus,0.0
128472,Radomiresti,0.0
79237,Branesti,0.0
71126,Bralostita,0.0
152902,Draganesti-Vlasca,0.0
70986,Brabova,0.0
21971,Corbasca,0.0
161231,Sfantu Gheorghe,0.0
112076,Hinova,0.0
145275,Poiana Sibiului,0.0
120138,Vatava,0.0
49046,Rusetu,0.0
144713,Jina,0.0
94562,Stefan Cel Mare,0.0
79157,Borascu,0.0
62949,Silistea,0.0
38376,Mitoc,0.0
161259,Slava Cercheza,0.0
153106,Izvoarele,0.0
128524,Redea,0.0
152868,Draganesti De Vede,0.0
171879,Orlesti,0.0
111006,Butoiesti,0.0
136713,Acas,0.0
169253,Costesti,0.0
62985,Targusor,0.0
161286,Smardan,0.0
79362,Bumbesti-Pitic,0.0
46377,Cochirleanca,0.0
95747,Aroneanu,0.0
62761,Poarta Alba,0.0
112129,Husnicioara,0.0
128301,Poboru,0.0
120316,Voivodeni,0.0
13819,Albestii De Arges,0.0
54573,Vrani,0.0
163734,Dumesti,0.0
153473,Olteni,0.0
63334,Fantanele,0.0
177655,Slobozia Bradului,0.0
111916,Greci,0.0
5577,Metes,0.0
65431,Razvad,0.0
177600,Sihlea,0.0
62823,Saraiu,0.0
62878,Sacele,0.0
120218,Viisoara,0.0
120174,Vetca,0.0
161133,Pardina,0.0
144795,Loamnes,0.0
111989,Grozesti,0.0
177557,Ruginesti,0.0
136599,Oras Negresti-Oas,0.0
128882,Samburesti,0.0
30069,Magesti,0.0
71536,Carpen,0.0
152948,Furculesti,0.0
71055,Bradesti,0.0
169351,Daesti,0.0
163832,Falciu,0.0
128864,Seaca,0.0
12643,Vinga,0.0
122864,Grinties,0.0
128374,Oras Potcoava,0.0
95612,Alexandru I. Cuza,0.0
161151,Peceneaga,0.0
87424,Oras Calan,0.0
21891,Colonesti,0.0
136553,Capleni,0.0
112030,Gruia,0.0
153026,Galateni,0.0
152993,Frumoasa,0.0
79736,Calnic,0.0
37280,Oras Flamanzi,0.0
136526,Municipiul Carei,0.0
120254,Vanatori,0.0
37217,Durnesti,0.0
53675,Racasdia,0.0
155546,Balint,0.0
29092,Diosig,0.0
103862,Ion Roata,0.0
103764,Ileana,0.0
169306,Creteni,0.0
54617,Zavoi,0.0
128436,Priseaca,0.0
176551,Jitia,0.0
22380,Dofteana,0.0
95667,Andrieseni,0.0
40955,Feldioara,0.0
38321,Mileanca,0.0
86438,Madaras,0.0
144731,Laslea,0.0
38241,Mihalaseni,0.0
55160,Mica,0.0
46439,Colti,0.0
96110,Butea,0.0
5700,Mihalt,0.0
161302,Somova,0.0
30229,Olcea,0.0
145220,Pauca,0.0
161482,Valea Nucarilor,0.0
63300,Cuza Voda,0.0
104136,Oras Mihailesti,0.0
153295,Mereni,0.0
55106,Jichisu De Jos,0.0
112334,Ilovita,0.0
30416,Pocola,0.0
177986,Tataranu,0.0
145104,Mosna,0.0
46803,Gheraseni,0.0
169681,Fartatesti,0.0
63189,Tortoman,0.0
136919,Batarci,0.0
177879,Tanasoaia,0.0
128711,Oras Scornicesti,0.0
95943,Bivolari,0.0
137032,Berveni,0.0
120511,Bereni,0.0
120502,Madaras,0.0
104270,Movilita,0.0
63161,Dumbraveni,0.0
38731,Ripiceni,0.0
61826,Ghindaresti,0.0
161464,Turcoaia,0.0
180091,Racsa,0.0
135547,Sotrile,0.0
153277,Maldaeni,0.0
151932,Crevenicu,0.0
87745,Baia De Cris,0.0
5826,Mogos,0.0
160127,Cerna,0.0
63170,Vulturu,0.0
22237,Dealu Morii,0.0
63198,Amzacea,0.0
63294,Baraganu,0.0
79656,Ciuperceni,0.0
38679,Rauseni,0.0
94580,Stefan Voda,0.0
119153,Rusii-Munti,0.0
71457,Calopar,0.0
104225,Marsa,0.0
87843,Balsa,0.0
153384,Mosteni,0.0
168309,Amarasti,0.0
110946,Burila Mare,0.0
61808,Garliciu,0.0
40820,Cincu,0.0
63278,Horia,0.0
145202,Orlat,0.0
104243,Moara Vlasiei,0.0
96058,Braesti,0.0
46867,Glodeanu Sarat,0.0
98168,Mogosesti-Siret,0.0
46910,Glodeanu-Silistea,0.0
79585,Catunele,0.0
14049,Arefu,0.0
38633,Radauti-Prut,0.0
46830,Ghergheasa,0.0
112370,Isverna,0.0
145140,Nocrich,0.0
161525,I.c.bratianu,0.0
161552,Bestepe,0.0
153339,Marzanesti,0.0
96003,Ungheni,0.0
14085,Babana,0.0
161543,Vacareni,0.0
131069,Oras Boldesti-Scaeni,0.0
30470,Pomezeu,0.0
112469,Izvoru Barzii,0.0
53639,Ramna,0.0
104118,Mihai Bravu,0.0
127386,Izvoarele,0.0
139143,Tarsolt,0.0
144964,Merghindeal,0.0
65413,Doicesti,0.0
161348,Stejaru,0.0
169547,Dragoesti,0.0
128588,Rusanesti,0.0
38492,Paltinis,0.0
13891,Albestii De Muscel,0.0
143771,Oras Copsa Mica,0.0
144991,Micasasa,0.0
12689,Varfurile,0.0
63072,Topraisar,0.0
136802,Apa,0.0
177762,Soveja,0.0
29038,Derna,0.0
136768,Andrid,0.0
73594,Perisor,0.0
79406,Bustuchin,0.0
120343,Zagar,0.0
87576,Oras Hateg,0.0
103960,Jilavele,0.0
71199,Bratovoesti,0.0
153124,Lisa,0.0
22059,Cotofanesti,0.0
130954,Oras Azuga,0.0
153151,Lunca,0.0
128560,Rotunda,0.0
120370,Zau De Campie,0.0
153437,Necsesti,0.0
38456,Nicseni,0.0
103997,Joita,0.0
57225,Ciurila,0.0
128613,Scarisoara,0.0
161384,Topolog,0.0
38580,Prajeni,0.0
153240,Magura,0.0
104083,Luica,0.0
128659,Schitu,0.0
63318,Saligny,0.0
136848,Oras Ardud,0.0
14165,Baiculesti,0.0
22166,Oras Darmanesti,0.0
120478,Chibed,0.0
38544,Pomarla,0.0
120487,Corunca,0.0
13999,Aninoasa,0.0
63152,Lumina,0.0
120496,Sarateni,0.0
102794,Floresti-Stoenesti,0.0
127368,Izbiceni,0.0
145042,Mihaileni,0.0
79497,Capreni,0.0
94606,Ulmu,0.0
112245,Eselnita,0.0
169583,Fauresti,0.0
161053,Nufaru,0.0
104047,Letca Noua,0.0
13935,Albota,0.0
87665,Oras Simeria,0.0
71518,Caraula,0.0
153204,Mavrodin,0.0
112263,Ilovat,0.0
5755,Miraslau,0.0
30336,Pietroasa,0.0
20876,Municipiul Moinesti,0.0
49019,Robeasca,0.0
95872,Belcesti,0.0
177799,Straoane,0.0
81816,Saulesti,0.0
119331,Oras Sangeorgiu De Padure,0.0
70940,Barca,0.0
78668,Arcani,0.0
103194,Gaujani,0.0
135681,Tataru,0.0
152350,Calinesti,0.0
119590,Solovastru,0.0
61951,Ion Corvin,0.0
102909,Fratesti,0.0
54056,Slatina-Timis,0.0
62253,Mihai Viteazu,0.0
168755,Boisoara,0.0
176944,Nereju,0.0
53755,Sacu,0.0
139214,Turulung,0.0
111417,Corlatel,0.0
24524,Podu Turcului,0.0
45888,Canesti,0.0
111097,Cazanesti,0.0
16329,Dambovicioara,0.0
127493,Maruntei,0.0
29467,Girisu De Cris,0.0
122828,Garcina,0.0
152314,Bujoru,0.0
127714,Nicolae Titulescu,0.0
119527,Sanpetru De Campie,0.0
90066,Lelese,0.0
37618,Hanesti,0.0
168452,Oras Balcesti,0.0
144116,Axente Sever,0.0
45815,C.a. Rosetti,0.0
176891,Naruja,0.0
160528,Horia,0.0
21249,Beresti-Bistrita,0.0
127750,Obarsia,0.0
98257,Movileni,0.0
78604,Aninoasa,0.0
152332,Buzescu,0.0
70414,Oras Filiasi,0.0
163789,Epureni,0.0
119625,Stanceni,0.0
78329,Oras Targu Carbunesti,0.0
38161,Mihaileni,0.0
86519,Santimbru,0.0
78711,Baia De Fier,0.0
70520,Afumati,0.0
111480,Devesel,0.0
13187,Bascov,0.0
29573,Holod,0.0
160644,Jurilovca,0.0
45959,Catina,0.0
37770,Hudesti,0.0
103309,Gogosari,0.0
152467,Calmatuiu De Sus,0.0
54163,Sopotu Nou,0.0
86936,Teliucu Inferior,0.0
127901,Optasi-Magura,0.0
78748,Balanesti,0.0
139250,Urziceni,0.0
70566,Almaj,0.0
136107,Valea Doftanei,0.0
4981,Intregalde,0.0
127858,Oporelu,0.0
20965,Oras Targu Ocna,0.0
155591,Banloc,0.0
111444,Cujmir,0.0
168791,Budesti,0.0
21338,Beresti-Tazlau,0.0
54109,Socol,0.0
152412,Calmatuiu,0.0
86883,Ghelari,0.0
37734,Hlipiceni,0.0
177003,Nistoresti,0.0
103283,Garbovi,0.0
12778,Zabrani,0.0
160617,Jijila,0.0
119661,Suplac,0.0
176613,Maicanesti,0.0
65477,Sotanga,0.0
81861,Scoarta,0.0
40900,Cristian,0.0
168675,Berislavesti,0.0
160476,Hamcearca,0.0
86749,Carjiti,0.0
103130,Ganeasa,0.0
37397,George Enescu,0.0
143959,Arpasu De Jos,0.0
119386,Sanger,0.0
143888,Altina,0.0
53853,Sichevita,0.0
4703,Hoparta,0.0
103014,Fundeni,0.0
45673,Buda,0.0
62057,Lipnita,0.0
21098,Ardeoani,0.0
168559,Barbatesti,0.0
152172,Botoroaga,0.0
152083,Blejesti,0.0
176748,Milcovul,0.0
21007,Agas,0.0
135789,Telega,0.0
12812,Zarand,0.0
53791,Sasca Montana,0.0
65501,Ulmi,0.0
37459,Gorbanesti,0.0
160305,Daeni,0.0
135725,Teisani,0.0
143922,Apoldu De Jos,0.0
12849,Zerind,0.0
94768,Vlad Tepes,0.0
127536,Mihaesti,0.0
102945,Frumusani,0.0
40928,Dumbravita,0.0
70174,Simnicu De Sus,0.0
12876,Zimandu Nou,0.0
29243,Draganesti,0.0
152127,Bogdana,0.0
57314,Catcau,0.0
160323,Dorobantu,0.0
62020,Istria,0.0
94795,Vladeni,0.0
127563,Milcov,0.0
111220,Ciresu,0.0
78454,Oras Ticleni,0.0
12920,Frumuseni,0.0
160458,Grindu,0.0
16365,Darmanesti,0.0
144054,Oras Avrig,0.0
45753,Calvini,0.0
62137,Mereni,0.0
152252,Branceni,0.0
127689,Movileni,0.0
106461,Oras Tautii-Magheraus,0.0
21196,Balcani,0.0
70316,Municipiul Bailesti,0.0
152270,Bujoreni,0.0
78542,Alimpesti,0.0
171995,Pausesti,0.0
70352,Municipiul Calafat,0.0
176855,Nanesti,0.0
135896,Tomsani,0.0
29403,Finis,0.0
103087,Gaiseni,0.0
160430,Greci,0.0
103032,Oras Fundulea,0.0
160261,Crisan,0.0
143995,Atel,0.0
160387,Frecatei,0.0
21123,Asau,0.0
127625,Morunglav,0.0
94731,Valcelele,0.0
78472,Albeni,0.0
12938,Zadareni,0.0
168602,Oras Berbesti,0.0
119466,Sanpaul,0.0
176793,Movilita,0.0
29341,Dragesti,0.0
86687,Municipiul Deva,0.0
4767,Horea,0.0
135850,Tinosu,0.0
152234,Bragadiru,0.0
37547,Havarna,0.0
21418,Berzunti,0.0
119723,Suseni,0.0
160680,Luncavita,0.0
53700,Eftimie Murgu,0.0
103568,Gurbanesti,0.0
86461,Ciceu,0.0
62609,Pantelimon,0.0
144535,Cartisoara,0.0
94651,Unirea,0.0
152724,Didesti,0.0
79004,Balteni,0.0
169119,Caineni,0.0
45496,Bradeanu,0.0
21668,Buhoci,0.0
111783,Garla Mare,0.0
119974,Valea Larga,0.0
46251,Cilibia,0.0
144553,Darlos,0.0
102838,Frasinet,0.0
168372,Oras Babeni,0.0
87219,Oras Aninoasa,0.0
160911,Murighiol,0.0
54412,Turnu Ruieni,0.0
87175,Municipiul Vulcan,0.0
21597,Brusturoasa,0.0
137103,Barsau,0.0
139170,Turt,0.0
119894,Oras Ungheni,0.0
103513,Gruiu,0.0
70744,Argetoaia,0.0
8096,Oras Teius,0.0
135618,Stefesti,0.0
87139,Oras Uricani,0.0
151996,Balaci,0.0
46180,Chiojdu,0.0
177263,Poiana Cristei,0.0
160877,Mihail Kogalniceanu,0.0
54387,Toplet,0.0
29813,Lazareni,0.0
95355,Oras Harlau,0.0
144508,Carta,0.0
86453,Tomesti,0.0
128178,Parscoveni,0.0
152760,Dobrotesti,0.0
29948,Lunca,0.0
95471,Oras Targu Frumos,0.0
70897,Bistret,0.0
98202,Mosna,0.0
86446,Cozmeni,0.0
111863,Gogosu,0.0
61871,Independenta,0.0
87291,Municipiul Brad,0.0
21757,Caiuti,0.0
144615,Hoghilag,0.0
177405,Racoasa,0.0
54537,Vermes,0.0
144651,Iacobeni,0.0
171931,Otesani,0.0
95499,Ion Neculce,0.0
103693,Iepuresti,0.0
120076,Vargata,0.0
46313,Cislau,0.0
79077,Bolbosi,0.0
5309,Lunca Muresului,0.0
176686,Mera,0.0
147358,Oras Brosteni,0.0
111818,Godeanu,0.0
29902,Lugasu De Jos,0.0
87246,Banita,0.0
62672,Pecineaga,0.0
78258,Oras Novaci,0.0
54485,Valiug,0.0
103639,Hotarele,0.0
54500,Varadia,0.0
5336,Lupsa,0.0
73629,Pielesti,0.0
128221,Plesoiu,0.0
127411,Leleasca,0.0
70879,Oras Bechet,0.0
152797,Dracsenei,0.0
160993,Nalbant,0.0
152662,Crangu,0.0
136278,Batrani,0.0
144303,Blajel,0.0
119242,Oras Sarmasu,0.0
13276,Bradu,0.0
29662,Husasau De Tinca,0.0
144349,Brateiu,0.0
45539,Braesti,0.0
111587,Dumbrava,0.0
62440,Nicolae Balcescu,0.0
29154,Dobresti,0.0
70637,Amarastii De Jos,0.0
78828,Barbatesti,0.0
94688,Valea Ciorii,0.0
127983,Osica De Sus,0.0
73665,Piscu Vechi,0.0
32704,Budacu De Jos,0.0
13301,Oras Mioveni,0.0
152564,Contesti,0.0
119803,Sincai,0.0
144376,Bradeni,0.0
37850,Leorda,0.0
160724,Mahmudia,0.0
160225,Ciucurova,0.0
111550,Darvari,0.0
168880,Bujoreni,0.0
95159,Holboca,0.0
152500,Cervenia,0.0
152038,Babaita,0.0
103354,Gostinu,0.0
62397,Oras Negru Voda,0.0
37823,Ibanesti,0.0
135654,Talea,0.0
152528,Ciolanesti,0.0
127938,Orlea,0.0
119750,Saulia,0.0
103372,Gostinari,0.0
86501,Satu Mare,0.0
21454,Barsanesti,0.0
86990,Municipiul Petrosani,0.0
177101,Paltin,0.0
54270,Teregova,0.0
21506,Blagesti,0.0
168960,Bunesti,0.0
29760,Lazuri De Beius,0.0
86487,Porumbeni,0.0
128052,Perieti,0.0
21560,Bogdanesti,0.0
86479,Leliceni,0.0
37324,Frumusica,0.0
136250,Olari,0.0
160831,Mihai Bravu,0.0
111685,Floresti,0.0
86495,Racu,0.0
37958,Manoleasa,0.0
70726,Apele Vii,0.0
130981,Oras Baicoi,0.0
144456,Chirpar,0.0
169039,Cernisoara,0.0
54350,Tarnova,0.0
78926,Berlesti,0.0
136241,Cocorastii Colt,0.0
119858,Taureni,0.0
136198,Valcanesti,0.0
144410,Bruiu,0.0
152582,Cosmesti,0.0
160779,Maliuc,0.0
70673,Amarastii De Sus,0.0
103443,Gradistea,0.0
53728,Rusca Montana,0.0
37912,Lunca,0.0
78873,Bengesti-Ciocadia,0.0
49073,Sageata,0.0
98220,Motca,0.0
70110,Podari,0.0
29724,Ineu,0.0
